estado,origem,destino
RJ,330010,330380
RJ,330010,330440
RJ,330010,330260
RJ,330015,330470
RJ,330015,330090
RJ,330015,330210
RJ,330020,330130
RJ,330020,330187
RJ,330020,330025
RJ,330020,330520
RJ,330020,330550
RJ,330020,330070
RJ,330020,330430
RJ,330020,330560
RJ,330022,330390
RJ,330022,330515
RJ,330022,330600
RJ,330022,330370
RJ,330023,330070
RJ,330025,330020
RJ,330025,330520
RJ,330025,330187
RJ,330025,330070
RJ,330030,330630
RJ,330030,330620
RJ,330030,330040
RJ,330030,330610
RJ,330030,330395
RJ,330030,330280
RJ,330030,330400
RJ,330040,330630
RJ,330040,330420
RJ,330040,330412
RJ,330040,330400
RJ,330040,330411
RJ,330040,330610
RJ,330040,330030
RJ,330040,330440
RJ,330045,330170
RJ,330045,330285
RJ,330045,330350
RJ,330045,330510
RJ,330050,330590
RJ,330050,330340
RJ,330050,330160
RJ,330050,330150
RJ,330060,330100
RJ,330060,330310
RJ,330060,330220
RJ,330060,330615
RJ,330070,330020
RJ,330070,330025
RJ,330070,330520
RJ,330070,330130
RJ,330070,330023
RJ,330080,330430
RJ,330080,330340
RJ,330080,330190
RJ,330080,330575
RJ,330080,330560
RJ,330080,330185
RJ,330080,330580
RJ,330090,330015
RJ,330090,330480
RJ,330090,330210
RJ,330090,330220
RJ,330090,330513
RJ,330090,330470
RJ,330090,330205
RJ,330093,330240
RJ,330093,330415
RJ,330093,330140
RJ,330095,330600
RJ,330095,330370
RJ,330100,330460
RJ,330100,330415
RJ,330100,330480
RJ,330100,330060
RJ,330100,330205
RJ,330100,330500
RJ,330100,330475
RJ,330100,330220
RJ,330100,330140
RJ,330100,330115
RJ,330110,330530
RJ,330110,330210
RJ,330110,330245
RJ,330110,330470
RJ,330110,330160
RJ,330110,330150
RJ,330110,330120
RJ,330115,330100
RJ,330115,330205
RJ,330115,330480
RJ,330120,330540
RJ,330120,330160
RJ,330120,330570
RJ,330120,330110
RJ,330130,330020
RJ,330130,330340
RJ,330130,330452
RJ,330130,330070
RJ,330130,330240
RJ,330130,330560
RJ,330140,330415
RJ,330140,330460
RJ,330140,330590
RJ,330140,330093
RJ,330140,330100
RJ,330140,330240
RJ,330150,330050
RJ,330150,330590
RJ,330150,330245
RJ,330150,330160
RJ,330150,330110
RJ,330160,330050
RJ,330160,330120
RJ,330160,330340
RJ,330160,330570
RJ,330160,330150
RJ,330160,330110
RJ,330170,330290
RJ,330170,330045
RJ,330170,330510
RJ,330170,330390
RJ,330170,330350
RJ,330170,330455
RJ,330170,330250
RJ,330180,330620
RJ,330180,330280
RJ,330180,330360
RJ,330180,330290
RJ,330185,330080
RJ,330185,330390
RJ,330185,330190
RJ,330185,330250
RJ,330185,330580
RJ,330187,330020
RJ,330187,330025
RJ,330187,330520
RJ,330190,330080
RJ,330190,330430
RJ,330190,330575
RJ,330190,330270
RJ,330190,330490
RJ,330190,330185
RJ,330200,330555
RJ,330200,330260
RJ,330200,330350
RJ,330200,330455
RJ,330200,330400
RJ,330200,330360
RJ,330200,330440
RJ,330205,330480
RJ,330205,330220
RJ,330205,330100
RJ,330205,330090
RJ,330205,330115
RJ,330210,330015
RJ,330210,330480
RJ,330210,330530
RJ,330210,330470
RJ,330210,330090
RJ,330210,330110
RJ,330220,330100
RJ,330220,330230
RJ,330220,330060
RJ,330220,330310
RJ,330220,330205
RJ,330220,330300
RJ,330220,330513
RJ,330220,330090
RJ,330225,330420
RJ,330227,330555
RJ,330227,330290
RJ,330227,330350
RJ,330227,330414
RJ,330227,330360
RJ,330230,330220
RJ,330230,330300
RJ,330240,330590
RJ,330240,330340
RJ,330240,330093
RJ,330240,330140
RJ,330240,330452
RJ,330240,330130
RJ,330245,330590
RJ,330245,330530
RJ,330245,330150
RJ,330245,330110
RJ,330250,330390
RJ,330250,330185
RJ,330250,330170
RJ,330260,330010
RJ,330260,330440
RJ,330260,330200
RJ,330270,330550
RJ,330270,330330
RJ,330270,330490
RJ,330270,330190
RJ,330270,330575
RJ,330280,330620
RJ,330280,330180
RJ,330280,330030
RJ,330280,330400
RJ,330280,330360
RJ,330285,330045
RJ,330285,330510
RJ,330285,330350
RJ,330285,330455
RJ,330285,330320
RJ,330290,330390
RJ,330290,330227
RJ,330290,330360
RJ,330290,330385
RJ,330290,330620
RJ,330290,330180
RJ,330290,330350
RJ,330290,330170
RJ,330300,330470
RJ,330300,330230
RJ,330300,330220
RJ,330300,330513
RJ,330310,330060
RJ,330310,330410
RJ,330310,330220
RJ,330310,330615
RJ,330320,330285
RJ,330320,330455
RJ,330320,330510
RJ,330330,330270
RJ,330330,330490
RJ,330340,330050
RJ,330340,330240
RJ,330340,330130
RJ,330340,330580
RJ,330340,330080
RJ,330340,330590
RJ,330340,330570
RJ,330340,330160
RJ,330340,330560
RJ,330350,330555
RJ,330350,330290
RJ,330350,330285
RJ,330350,330227
RJ,330350,330200
RJ,330350,330045
RJ,330350,330170
RJ,330350,330414
RJ,330350,330455
RJ,330360,330555
RJ,330360,330290
RJ,330360,330180
RJ,330360,330280
RJ,330360,330227
RJ,330360,330400
RJ,330360,330200
RJ,330370,330620
RJ,330370,330095
RJ,330370,330390
RJ,330370,330600
RJ,330370,330450
RJ,330370,330022
RJ,330370,330385
RJ,330380,330010
RJ,330385,330390
RJ,330385,330620
RJ,330385,330290
RJ,330385,330370
RJ,330390,330290
RJ,330390,330370
RJ,330390,330185
RJ,330390,330250
RJ,330390,330580
RJ,330390,330515
RJ,330390,330385
RJ,330390,330170
RJ,330390,330022
RJ,330395,330630
RJ,330395,330030
RJ,330395,330400
RJ,330400,330630
RJ,330400,330395
RJ,330400,330040
RJ,330400,330200
RJ,330400,330360
RJ,330400,330280
RJ,330400,330030
RJ,330400,330440
RJ,330410,330310
RJ,330410,330615
RJ,330411,330420
RJ,330411,330040
RJ,330411,330412
RJ,330412,330420
RJ,330412,330040
RJ,330412,330610
RJ,330412,330411
RJ,330414,330555
RJ,330414,330227
RJ,330414,330350
RJ,330415,330100
RJ,330415,330093
RJ,330415,330140
RJ,330420,330411
RJ,330420,330225
RJ,330420,330412
RJ,330420,330040
RJ,330430,330020
RJ,330430,330080
RJ,330430,330550
RJ,330430,330575
RJ,330430,330190
RJ,330430,330560
RJ,330440,330260
RJ,330440,330010
RJ,330440,330040
RJ,330440,330400
RJ,330440,330200
RJ,330450,330620
RJ,330450,330370
RJ,330450,330610
RJ,330452,330240
RJ,330452,330130
RJ,330455,330320
RJ,330455,330555
RJ,330455,330350
RJ,330455,330510
RJ,330455,330170
RJ,330455,330285
RJ,330455,330200
RJ,330460,330590
RJ,330460,330480
RJ,330460,330530
RJ,330460,330140
RJ,330460,330100
RJ,330470,330015
RJ,330470,330513
RJ,330470,330210
RJ,330470,330090
RJ,330470,330300
RJ,330470,330110
RJ,330475,330100
RJ,330475,330500
RJ,330480,330460
RJ,330480,330530
RJ,330480,330210
RJ,330480,330090
RJ,330480,330100
RJ,330480,330205
RJ,330480,330115
RJ,330490,330270
RJ,330490,330190
RJ,330490,330330
RJ,330500,330100
RJ,330500,330475
RJ,330510,330170
RJ,330510,330045
RJ,330510,330285
RJ,330510,330455
RJ,330510,330320
RJ,330513,330470
RJ,330513,330090
RJ,330513,330220
RJ,330513,330300
RJ,330515,330022
RJ,330515,330540
RJ,330515,330390
RJ,330515,330600
RJ,330515,330570
