estado,cod_mun6,municipio,periodo,casos_total,pop_pessoa_ano,incidencia_media_anual,incidencia_mediana_anual,incidencia_periodo_100mil_pessoa_ano,log_inc_periodo_mais1
RJ,330010,ANGRA DOS REIS,2001–2005,581,663406,88.04448173917164,83.63491405926354,87.57834568876375,4.483887422420494
RJ,330010,ANGRA DOS REIS,2006–2010,476,790961,60.47936370033064,60.760647354063686,60.17995830388603,4.11381965719075
RJ,330010,ANGRA DOS REIS,2011–2015,522,844947,61.77683569792979,56.332348999656084,61.77902282628378,4.139620986244626
RJ,330010,ANGRA DOS REIS,2016–2019,461,672839,68.5228377579245,68.99819131954263,68.51564787415711,4.241551876496901
RJ,330010,ANGRA DOS REIS,2020–2024,621,855149,72.42020559556308,68.68377987744425,72.61892371972603,4.298902108443386
RJ,330015,APERIBE,2001–2005,19,43134,43.709238076274254,45.284727725574555,44.048778225993416,3.80774586328688
RJ,330015,APERIBE,2006–2010,14,48682,28.441852254720533,29.37432683834329,28.758062528244523,3.3931001046279947
RJ,330015,APERIBE,2011–2015,11,52063,21.19180871798502,19.083969465648856,21.128248468201985,3.096855003538048
RJ,330015,APERIBE,2016–2019,6,42876,13.979554878484146,13.949454262361387,13.993842709207948,2.7076396307769444
RJ,330015,APERIBE,2020–2024,24,55544,43.21039033698175,44.53152832205201,43.208987469393634,3.788928104825227
RJ,330020,ARARUAMA,2001–2005,226,453705,49.56844417126462,51.37041278267105,49.8121025776661,3.928134565927698
RJ,330020,ARARUAMA,2006–2010,252,527686,47.97378521205496,47.41988410580325,47.75567288122103,3.8868215574680436
RJ,330020,ARARUAMA,2011–2015,212,581008,36.58069526722321,39.592370722302554,36.4883099716355,3.6240291502874737
RJ,330020,ARARUAMA,2016–2019,138,491016,28.04801697338471,28.925311059743265,28.10499046874236,3.370909653245286
RJ,330020,ARARUAMA,2020–2024,331,655945,50.3369675661386,54.753954238033174,50.46154784318807,3.940834884970778
RJ,330022,AREAL,2001–2005,32,51680,62.3096480827257,58.8985962501227,61.91950464396285,4.141856205367651
RJ,330022,AREAL,2006–2010,20,55514,36.16871666502867,27.81125428756837,36.0269481572216,3.611645976115239
RJ,330022,AREAL,2011–2015,6,57615,10.424343675395074,17.307026652821047,10.413954699297058,2.4348367032348213
RJ,330022,AREAL,2016–2019,8,46698,17.094550673586387,8.590345611572392,17.13135466186989,2.897642741328408
RJ,330022,AREAL,2020–2024,12,59653,20.044230228352486,24.51180652014053,20.11633949675624,3.050047124534163
RJ,330023,ARMACAO DOS BUZIOS,2001–2005,79,103257,77.32391213918092,70.78572150874709,76.50813019940537,4.350382836655852
RJ,330023,ARMACAO DOS BUZIOS,2006–2010,77,127049,61.24746903720212,56.73222390317701,60.60653763508568,4.12076799534774
RJ,330023,ARMACAO DOS BUZIOS,2011–2015,99,151401,64.75441170259252,67.29690754686749,65.3892642717023,4.195535360755253
RJ,330023,ARMACAO DOS BUZIOS,2016–2019,71,139237,51.194963396426736,53.380189661529364,50.99219316704612,3.951093575907621
RJ,330023,ARMACAO DOS BUZIOS,2020–2024,91,200160,45.67033726922457,48.48837491211482,45.46362909672263,3.8386698365758294
RJ,330025,ARRAIAL DO CABO,2001–2005,86,124874,68.63343984547319,71.02272727272728,68.86942037573876,4.246628076776962
RJ,330025,ARRAIAL DO CABO,2006–2010,74,134535,55.01771580778133,58.597326496978575,55.00427398074851,4.025428008907638
RJ,330025,ARRAIAL DO CABO,2011–2015,81,142507,56.9922589042872,64.34546364481304,56.8393131565467,4.057668702893189
RJ,330025,ARRAIAL DO CABO,2016–2019,57,118873,47.9437573651481,47.11628331970692,47.95033354925004,3.890806183033999
RJ,330025,ARRAIAL DO CABO,2020–2024,139,156813,88.21938353903008,96.81791776931517,88.64061015349492,4.495808455619678
RJ,330030,BARRA DO PIRAI,2001–2005,186,451725,41.24461390834678,37.63518225390465,41.175493939897066,3.741839340038544
RJ,330030,BARRA DO PIRAI,2006–2010,140,467463,30.002982489185843,35.29864795481773,29.948894350996763,3.432337274776723
RJ,330030,BARRA DO PIRAI,2011–2015,147,471506,31.184360445652306,32.87345839386645,31.176697645417022,3.471242514962603
RJ,330030,BARRA DO PIRAI,2016–2019,119,374357,31.787730992613135,33.17941152972347,31.787838881068073,3.4900576808183614
RJ,330030,BARRA DO PIRAI,2020–2024,162,473277,34.08052257301203,32.40881101481396,34.22942589646233,3.5618816963493005
RJ,330040,BARRA MANSA,2001–2005,365,864219,42.20605840526885,43.79318094074667,42.23466505596382,3.7666426053247655
RJ,330040,BARRA MANSA,2006–2010,347,881905,39.35708951041377,39.438712811865905,39.34664164507515,3.697508160646774
RJ,330040,BARRA MANSA,2011–2015,228,879009,25.919197512764264,25.597415229893233,25.93830097302758,3.293549101919449
RJ,330040,BARRA MANSA,2016–2019,176,691292,25.462795703713134,27.480557754090174,25.459574246483395,3.275618068099435
RJ,330040,BARRA MANSA,2020–2024,351,868990,40.37027246798557,40.41254951960293,40.39171912219934,3.7230808396214456
RJ,330045,BELFORD ROXO,2001–2005,2132,2223384,95.93612835289272,97.06742188927463,95.88986877660359,4.5735749600416105
RJ,330045,BELFORD ROXO,2006–2010,1657,2310856,71.73802092334535,70.21325935532633,71.70503051683012,4.286410577700319
