id,name,description,cod_mun6,municipio_geo,estado,municipio,casos_acumulados,pop_pessoa_ano,pop_media,incidencia_media_anual,incidencia_mediana_anual,incidencia_max_anual,anos_com_casos,anos_zero,incidencia_periodo_100mil_pessoa_ano,log_casos_acumulados_mais1,log_inc_periodo_mais1,gi_z,gi_p,classe_gi,estado_analise,contexto_analise,variavel_analise
3500105,Adamantina,Adamantina,350010,ADAMANTINA,SP,ADAMANTINA,129,818748,34114.5,15.749560568173175,14.840321117944594,34.820962219255996,24,0,15.755763678201353,4.867534450455582,2.8187422992733078,0.8193618721858736,0.035,Hot spot,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3500204,Adolfo,Adolfo,350020,ADOLFO,SP,ADOLFO,17,92716,3863.1666666666665,18.07615638244288,0.0,82.01202843083652,11,13,18.335562362483284,2.8903717578961645,2.9619460098436012,-0.2596254775684893,0.147,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3500303,Aguaí,Aguaí,350030,AGUAI,SP,AGUAI,211,753910,31412.916666666668,27.918917412189938,25.740797954311688,57.77183167112624,24,0,27.987425554774443,5.356586274672012,3.366862134394633,-0.06369197870659976,0.408,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3500402,Águas da Prata,Águas da Prata,350040,AGUAS DA PRATA,SP,AGUAS DA PRATA,17,178272,7428.0,9.689377424818538,0.0,54.72704884389109,9,15,9.535989947944714,2.8903717578961645,2.354797010373015,-0.29237837281052914,0.237,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3500501,Águas de Lindóia,Águas de Lindóia,350050,AGUAS DE LINDOIA,SP,AGUAS DE LINDOIA,64,415578,17315.75,15.523030829162813,11.771405070880618,60.97560975609756,22,2,15.400237741170129,4.174387269895637,2.7972958311378937,-0.2268777415965994,0.398,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3500550,Águas de Santa Bárbara,Águas de Santa Bárbara,350055,AGUAS DE SANTA BARBARA,SP,AGUAS DE SANTA BARBARA,21,146058,6085.75,13.52685926336518,15.136193220038868,43.566656985187336,15,9,14.377849895247092,3.091042453358316,2.7329281555561784,0.11845760527505722,0.178,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3500600,Águas de São Pedro,Águas de São Pedro,350060,AGUAS DE SAO PEDRO,SP,AGUAS DE SAO PEDRO,10,61706,2571.0833333333335,15.768596323085271,0.0,73.5564545788893,9,15,16.20587949308009,2.3978952727983707,2.845251156401533,-0.24507627948673083,0.488,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3500709,Agudos,Agudos,350070,AGUDOS,SP,AGUDOS,240,847637,35318.208333333336,28.215557990246293,28.957279751019353,56.964600569646,24,0,28.31400705726626,5.484796933490655,3.378065458352377,-0.03328565779818939,0.36,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3500758,Alambari,Alambari,350075,ALAMBARI,SP,ALAMBARI,10,122049,5085.375,7.043709716142871,0.0,47.39336492890995,7,17,8.193430507419151,2.3978952727983707,2.2184891537012796,0.008670031288170356,0.205,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3500808,Alfredo Marcondes,Alfredo Marcondes,350080,ALFREDO MARCONDES,SP,ALFREDO MARCONDES,7,97304,4054.3333333333335,6.961389655350096,0.0,50.27652086475615,5,19,7.193948861300665,2.0794415416798357,2.1033959381118756,0.3077712191716759,0.08,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3500907,Altair,Altair,350090,ALTAIR,SP,ALTAIR,19,87170,3632.0833333333335,21.71402681052488,26.522073708926133,81.74386920980926,13,11,21.796489617987838,2.995732273553991,3.126606559983362,-0.1808723560609611,0.375,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3501004,Altinópolis,Altinópolis,350100,ALTINOPOLIS,SP,ALTINOPOLIS,48,384710,16029.583333333334,12.305503386964913,12.508796970380164,30.671083302662247,19,5,12.476930675053936,3.8918202981106265,2.600979384828844,-0.05742965542007466,0.356,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3501103,Alto Alegre,Alto Alegre,350110,ALTO ALEGRE,SP,ALTO ALEGRE,39,96987,4041.125,41.56190774887269,11.95886151638364,362.50647332988086,12,12,40.21157474713106,3.6888794541139363,3.718719157363444,0.4124990293972928,0.102,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3501152,Alumínio,Alumínio,350115,ALUMINIO,SP,ALUMINIO,81,401213,16717.208333333332,20.062764860943876,17.55671635356387,69.36015259233571,23,1,20.188777532133805,4.406719247264253,3.0534716798247987,-0.06221979313005347,0.293,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3501202,Álvares Florence,Álvares Florence,350120,ALVARES FLORENCE,SP,ALVARES FLORENCE,8,95621,3984.2083333333335,8.212396617187041,0.0,51.26890540886952,6,18,8.366363037408101,2.1972245773362196,2.2371248712111043,-0.26921743335579684,0.159,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3501301,Álvares Machado,Álvares Machado,350130,ALVARES MACHADO,SP,ALVARES MACHADO,83,593196,24716.5,13.58683283654365,8.74477486654244,44.028618602091356,24,0,13.992002643308451,4.430816798843313,2.707516901810649,0.21252290543149963,0.121,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3501400,Álvaro de Carvalho,Álvaro de Carvalho,350140,ALVARO DE CARVALHO,SP,ALVARO DE CARVALHO,410,110580,4607.5,363.08510846395507,422.70071460730446,723.0965546575925,22,2,370.7722915536263,6.018593214496234,5.918281547372032,0.9147075819939228,0.148,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3501509,Alvinlândia,Alvinlândia,350150,ALVINLANDIA,SP,ALVINLANDIA,12,70334,2930.5833333333335,17.153192261146366,0.0,102.31923601637108,8,16,17.061449654505644,2.5649493574615367,2.893779813566234,-0.21381625863494377,0.351,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3501608,Americana,Americana,350160,AMERICANA,SP,AMERICANA,1198,5162859,215119.125,23.43289370857441,22.430412867954608,37.23441390705359,24,0,23.20419751924273,7.089243155027514,3.1865260693300965,-0.13966529673724418,0.476,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3501707,Américo Brasiliense,Américo Brasiliense,350170,AMERICO BRASILIENSE,SP,AMERICO BRASILIENSE,839,787240,32801.666666666664,110.95845860924025,57.784648295270415,329.8216401421755,24,0,106.57486916315227,6.733401891837359,4.678187062485507,0.0734373922734752,0.44,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3501806,Américo de Campos,Américo de Campos,350180,AMERICO DE CAMPOS,SP,AMERICO DE CAMPOS,15,137984,5749.333333333333,10.904021935521188,0.0,71.36485280999108,11,13,10.87082560296846,2.772588722239781,2.474083759949117,-0.3379684937062769,0.044,Cold spot,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3501905,Amparo,Amparo,350190,AMPARO,SP,AMPARO,433,1576107,65671.125,27.756231714029237,26.979632156325785,65.01950585175553,24,0,27.47275407063099,6.073044534100405,3.3489476324958067,-0.25332484171903963,0.094,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3502002,Analândia,Analândia,350200,ANALANDIA,SP,ANALANDIA,8,102363,4265.125,7.5220405584917245,0.0,43.58247984310307,7,17,7.815323896329728,2.1972245773362196,2.1764915589444778,0.052981987785032846,0.204,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3502101,Andradina,Andradina,350210,ANDRADINA,SP,ANDRADINA,608,1367240,56968.333333333336,44.261333297282526,45.22271647139766,62.19012904451777,24,0,44.469149527515285,6.411818267709897,3.817034063626705,0.2294698066255439,0.147,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3502200,Angatuba,Angatuba,350220,ANGATUBA,SP,ANGATUBA,100,535588,22316.166666666668,18.44321337348826,18.84978909607705,33.96162336559688,23,1,18.67106805977729,4.61512051684126,2.979148929847897,0.09119993527823897,0.194,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3502309,Anhembi,Anhembi,350230,ANHEMBI,SP,ANHEMBI,32,130752,5448.0,24.621326943445442,19.376874434166027,70.54673721340389,15,9,24.47381302006853,3.4965075614664802,3.237650984110345,-0.07049987025798848,0.356,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3502408,Anhumas,Anhumas,350240,ANHUMAS,SP,ANHUMAS,12,90745,3781.0416666666665,13.245786163431438,0.0,57.045065601825435,9,15,13.223869083696071,2.5649493574615367,2.65492147482706,-0.19753221247907451,0.432,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
