cod_mun6,municipio,incidencia,lisa_I,lisa_p,classe_lisa
330010,ANGRA DOS REIS,69.52678414193602,-0.03589128764722921,0.462,Não significativo
330015,APERIBE,30.540778129501152,0.38796627971201963,0.146,Não significativo
330020,ARARUAMA,42.777630141435615,-0.07936453704092525,0.15,Não significativo
330022,AREAL,28.76530461720018,0.20781138008533814,0.311,Não significativo
330023,ARMACAO DOS BUZIOS,57.82799707115756,0.18145342555613675,0.23,Não significativo
330025,ARRAIAL DO CABO,64.49213550137101,-0.059903848603491995,0.488,Não significativo
330030,BARRA DO PIRAI,33.685858372856885,-0.006446726113270613,0.471,Não significativo
330040,BARRA MANSA,35.05028772535101,0.14339039366504816,0.224,Não significativo
330045,BELFORD ROXO,70.34741564829521,1.3184834892100192,0.005,Alto-Alto
330050,BOM JARDIM,23.173516532855704,0.7031303692678106,0.042,Baixo-Baixo
330060,BOM JESUS DO ITABAPOANA,60.50862841176715,-0.15664026084532048,0.268,Não significativo
330070,CABO FRIO,63.50413697722527,0.37237539484468357,0.081,Não significativo
330080,CACHOEIRAS DE MACACU,32.84306616112901,0.07514896766486033,0.375,Não significativo
330090,CAMBUCI,27.96444278729228,0.3879328738622191,0.077,Não significativo
330093,CARAPEBUS,0.4418828864259078,0.3514584157530959,0.387,Não significativo
330095,COMENDADOR LEVY GASPARIAN,18.389541212652848,-0.007966199340216584,0.448,Não significativo
330100,CAMPOS DOS GOYTACAZES,63.37180944126781,-0.33463878512585354,0.023,Alto-Baixo
330110,CANTAGALO,56.84751145117976,-0.17044155017833834,0.061,Não significativo
330115,CARDOSO MOREIRA,13.011435333166396,0.3577552360943296,0.362,Não significativo
330120,CARMO,19.856168307273062,0.46143091225823557,0.189,Não significativo
330130,CASIMIRO DE ABREU,136.26018207954002,-0.24514650390376827,0.5,Não significativo
330140,CONCEICAO DE MACABU,41.76908124086302,0.1621138378280802,0.037,Baixo-Baixo
330150,CORDEIRO,32.10299298673076,0.3157823406958129,0.102,Não significativo
330160,DUAS BARRAS,32.6175382584537,0.3822322076211899,0.042,Baixo-Baixo
330170,DUQUE DE CAXIAS,110.88096516888244,2.4943110355640683,0.004,Alto-Alto
330180,ENGENHEIRO PAULO DE FRONTIN,45.26801617839535,-0.06499403868785564,0.158,Não significativo
330185,GUAPIMIRIM,51.74088098832729,0.022525930555409805,0.32,Não significativo
330187,IGUABA GRANDE,39.60709759188847,0.006240882982507525,0.455,Não significativo
330190,ITABORAI,68.73471997374457,0.00011976126124244771,0.472,Não significativo
330200,ITAGUAI,67.42060833653873,0.6795731478121769,0.009,Alto-Alto
330205,ITALVA,32.86656776543522,0.21368366132790922,0.21,Não significativo
330210,ITAOCARA,24.48757482314529,0.3628616926811228,0.164,Não significativo
330220,ITAPERUNA,59.78411100983669,-0.09979505698040778,0.261,Não significativo
330225,ITATIAIA,38.83371806143234,0.05400540388060444,0.473,Não significativo
330227,JAPERI,121.14540380468534,2.6353109830720003,0.009,Alto-Alto
330230,LAJE DO MURIAE,52.587294909549854,0.028786870821389778,0.355,Não significativo
330240,MACAE,56.98751680879589,-0.023214142985573775,0.458,Não significativo
330245,MACUCO,40.4040404040404,0.1393438072765444,0.145,Não significativo
330250,MAGE,83.70487036138604,0.9369820083041505,0.124,Não significativo
330260,MANGARATIBA,59.56809653276593,0.05137484543994939,0.351,Não significativo
330270,MARICA,49.47634588913411,0.021818627626014976,0.088,Não significativo
330280,MENDES,52.75068940912163,0.06586377241179328,0.16,Não significativo
330285,MESQUITA,78.11977705531771,1.9413190226842323,0.001,Alto-Alto
330290,MIGUEL PEREIRA,33.95238754507756,-0.5425465621532446,0.004,Baixo-Alto
330300,MIRACEMA,48.16011385544865,0.002067511490609826,0.425,Não significativo
330310,NATIVIDADE,27.287235362052,0.17270064675737148,0.341,Não significativo
330320,NILOPOLIS,101.7330180252337,3.5841361682513595,0.003,Alto-Alto
330330,NITEROI,111.96935277360406,0.6315163927884393,0.285,Não significativo
330340,NOVA FRIBURGO,28.43438595649222,0.14005706085120617,0.29,Não significativo
330350,NOVA IGUACU,99.74426918476716,2.3141177707419116,0.002,Alto-Alto
330360,PARACAMBI,112.9059038402239,1.0848095343459934,0.114,Não significativo
330370,PARAIBA DO SUL,35.368283720906526,0.21560647657403245,0.113,Não significativo
330380,PARATY,62.7287208389322,0.3885094323359229,0.163,Não significativo
330385,PATY DO ALFERES,26.826405718901945,0.1753139001202989,0.347,Não significativo
330390,PETROPOLIS,44.29425046791477,0.0033506314792325397,0.497,Não significativo
330395,PINHEIRAL,47.35813210716154,-0.004397326855630809,0.375,Não significativo
330400,PIRAI,54.946727305639975,0.047979415595801704,0.286,Não significativo
330410,PORCIUNCULA,45.33047847766751,0.13800780532797532,0.015,Baixo-Baixo
330411,PORTO REAL,36.16459779102727,0.15038634811123525,0.289,Não significativo
330412,QUATIS,38.2766979968528,0.1603646213160697,0.182,Não significativo
330414,QUEIMADOS,80.55784166105624,1.8091022277922815,0.011,Alto-Alto
330415,QUISSAMA,30.00078171050936,0.3219013784669865,0.184,Não significativo
330420,RESENDE,44.25328191720532,0.06376712658266628,0.213,Não significativo
330430,RIO BONITO,54.22548689019111,-0.03537835996074471,0.35,Não significativo
330440,RIO CLARO,19.353449631437744,-0.3335289083222087,0.226,Não significativo
330450,RIO DAS FLORES,15.61325956068191,0.3415682711435712,0.328,Não significativo
330452,RIO DAS OSTRAS,55.80316282152816,0.45586578992759685,0.023,Alto-Alto
330455,RIO DE JANEIRO,131.68966637058531,4.083848958855289,0.002,Alto-Alto
330460,SANTA MARIA MADALENA,14.103633498950286,0.5278030135367037,0.158,Não significativo
330470,SANTO ANTONIO DE PADUA,43.47344633695202,0.09015622182339783,0.114,Não significativo
330475,SAO FRANCISCO DE ITABAPOANA,13.248692333526073,0.29597294237564403,0.421,Não significativo
330480,SAO FIDELIS,26.15521459211877,0.5297590559600953,0.026,Baixo-Baixo
330490,SAO GONCALO,62.86068027668743,0.5265728442675064,0.07,Não significativo
330500,SAO JOAO DA BARRA,20.80800230642917,0.3690712952805673,0.332,Não significativo
330510,SAO JOAO DE MERITI,90.88304989658184,2.760696187157642,0.002,Alto-Alto
330513,SAO JOSE DE UBA,21.04415062801758,0.1318935478080528,0.431,Não significativo
330515,SAO JOSE DO VALE DO RIO PRETO,20.076531738989026,0.37564410286001426,0.171,Não significativo
330520,SAO PEDRO DA ALDEIA,36.70535710941567,-0.0626471539009241,0.346,Não significativo
330530,SAO SEBASTIAO DO ALTO,36.68578624084714,0.291504648568522,0.028,Baixo-Baixo
330540,SAPUCAIA,35.11160984358727,0.31447199587924834,0.083,Não significativo
330550,SAQUAREMA,47.3693207823934,0.0028632949467388754,0.495,Não significativo
330555,SEROPEDICA,54.74606020981468,0.43515042120865005,0.001,Alto-Alto
330560,SILVA JARDIM,30.797239163952412,-0.23979942027874795,0.187,Não significativo
330570,SUMIDOURO,20.132257748822123,0.7097602242725578,0.025,Baixo-Baixo
330575,TANGUA,40.0523868589366,-0.022101330376377168,0.385,Não significativo
330580,TERESOPOLIS,39.97587384395502,0.17393578257780004,0.072,Não significativo
330590,TRAJANO DE MORAES,15.825353027105988,0.6102259769665836,0.06,Não significativo
330600,TRES RIOS,62.09461877314676,-0.3709511456164143,0.018,Alto-Baixo
330610,VALENCA,30.62455551029661,0.3000782366153663,0.155,Não significativo
330615,VARRE-SAI,3.5311669624019,0.24349617103916388,0.419,Não significativo
330620,VASSOURAS,55.69980270932712,-0.1333106997421453,0.061,Não significativo
330630,VOLTA REDONDA,65.6033876028221,-0.12833166144105845,0.352,Não significativo
