cod_mun6,municipio,incidencia,lisa_I,lisa_p,classe_lisa
350010,ADAMANTINA,15.755763678201353,-0.3041879543975017,0.033,Baixo-Alto
350020,ADOLFO,18.335562362483284,0.06281555217956601,0.146,Não significativo
350030,AGUAI,27.987425554774443,0.005506933934779309,0.395,Não significativo
350040,AGUAS DA PRATA,9.535989947944714,0.09903941609437925,0.253,Não significativo
350050,AGUAS DE LINDOIA,15.400237741170129,0.05897416675306373,0.445,Não significativo
350055,AGUAS DE SANTA BARBARA,14.377849895247092,-0.056257499593714344,0.187,Não significativo
350060,AGUAS DE SAO PEDRO,16.20587949308009,0.05937733684433864,0.489,Não significativo
350070,AGUDOS,28.31400705726626,0.0024180903426087906,0.324,Não significativo
350075,ALAMBARI,8.193430507419151,-0.04298220770267802,0.225,Não significativo
350080,ALFREDO MARCONDES,7.193948861300665,-0.19904336302065212,0.107,Não significativo
350090,ALTAIR,21.79648961798784,0.033472403458700735,0.421,Não significativo
350100,ALTINOPOLIS,12.476930675053936,0.007740754529532252,0.351,Não significativo
350110,ALTO ALEGRE,40.21157474713106,0.04426865396169491,0.098,Não significativo
350115,ALUMINIO,20.188777532133805,0.005295024205904105,0.293,Não significativo
350120,ALVARES FLORENCE,8.366363037408101,0.09844097562831662,0.161,Não significativo
350130,ALVARES MACHADO,13.992002643308451,-0.09640248909733663,0.133,Não significativo
350140,ALVARO DE CARVALHO,370.7722915536263,1.0818827467755014,0.148,Não significativo
350150,ALVINLANDIA,17.061449654505644,0.05291417337759677,0.368,Não significativo
350160,AMERICANA,23.20419751924273,0.02215204743997491,0.46,Não significativo
350170,AMERICO BRASILIENSE,106.57486916315229,-0.20517932527780808,0.457,Não significativo
350180,AMERICO DE CAMPOS,10.87082560296846,0.11789569487163698,0.043,Baixo-Baixo
350190,AMPARO,27.47275407063099,0.027339286383388603,0.093,Não significativo
350200,ANALANDIA,7.815323896329728,-0.051255982699826674,0.208,Não significativo
350210,ANDRADINA,44.469149527515285,0.038126112697653716,0.153,Não significativo
350220,ANGATUBA,18.67106805977729,-0.032147863463249333,0.218,Não significativo
350230,ANHEMBI,24.47381302006853,0.008063734658099257,0.36,Não significativo
350240,ANHUMAS,13.223869083696073,0.055017041621349176,0.454,Não significativo
350250,APARECIDA,50.745012411790896,0.18750862603998095,0.061,Não significativo
350260,APARECIDA DOESTE,7.55629439322956,0.15508894435641465,0.002,Baixo-Baixo
350270,APIAI,13.801806064907922,0.07531727310817508,0.149,Não significativo
350275,ARACARIGUAMA,37.95827454575405,0.001403292808215681,0.32,Não significativo
350280,ARACATUBA,28.552242436284978,-0.09644359867682203,0.009,Baixo-Alto
350290,ARACOIABA DA SERRA,17.1638925901669,-0.06905448963585405,0.154,Não significativo
350300,ARAMINA,3.2180726962622086,0.15900349875607414,0.045,Baixo-Baixo
350310,ARANDU,15.652820442583495,-0.07770260546082322,0.147,Não significativo
350315,ARAPEI,16.940538709130948,-0.016225580119029883,0.167,Não significativo
350320,ARARAQUARA,21.803917179846614,0.01969731482658217,0.483,Não significativo
350330,ARARAS,31.495725431951254,0.006249966563200919,0.392,Não significativo
350335,ARCO-IRIS,4.1393298424984994,0.11841500404417321,0.168,Não significativo
350340,AREALVA,14.88324624862463,-0.11191799506869098,0.111,Não significativo
350350,AREIAS,28.62803027700482,0.024156968872715172,0.128,Não significativo
350360,AREIOPOLIS,14.45951536524334,0.031952359088321176,0.415,Não significativo
350370,ARIRANHA,5.204809243741217,0.14943870463824085,0.009,Baixo-Baixo
350380,ARTUR NOGUEIRA,12.696006265852503,0.061981255963994654,0.416,Não significativo
350390,ARUJA,33.111205488688555,-0.001301930441841034,0.229,Não significativo
350395,ASPASIA,11.370613785732154,0.10015103933786532,0.114,Não significativo
350400,ASSIS,37.65615591383855,-0.012513471157344302,0.254,Não significativo
350410,ATIBAIA,26.69352047155676,0.002033442894728086,0.369,Não significativo
350420,AURIFLAMA,16.784709129982584,0.07348849523473917,0.11,Não significativo
350430,AVAI,4.412361672461568,-0.3071357228313829,0.056,Não significativo
350440,AVANHANDAVA,117.86048553898064,-0.12713361305955337,0.365,Não significativo
350450,AVARE,35.73117852849049,0.0020478188795609673,0.241,Não significativo
350460,BADY BASSITT,18.248424932822985,0.05973379681395319,0.236,Não significativo
350470,BALBINOS,844.8204917189589,11.452505394223984,0.057,Não significativo
350480,BALSAMO,12.717792191275596,0.09076468515534251,0.123,Não significativo
350490,BANANAL,62.63455021341375,-0.1252045233651022,0.242,Não significativo
350500,BARAO DE ANTONINA,19.502047715010075,0.025800609150776685,0.359,Não significativo
350510,BARBOSA,25.25011260185349,-0.0009807291729494894,0.306,Não significativo
350520,BARIRI,15.994924635678627,0.06350837139644248,0.197,Não significativo
350530,BARRA BONITA,24.508375082834743,0.021627318460414876,0.472,Não significativo
350535,BARRA DO CHAPEU,8.090614886731391,0.0890788698232406,0.324,Não significativo
350540,BARRA DO TURVO,22.23420398770449,-0.014717606080561198,0.247,Não significativo
350550,BARRETOS,33.13222195967263,0.0031511662642535027,0.166,Não significativo
350560,BARRINHA,22.851394078758265,0.050165379280555825,0.086,Não significativo
350570,BARUERI,47.25894153045308,0.042246694909827374,0.194,Não significativo
350580,BASTOS,14.774646706252073,0.046008279936809095,0.454,Não significativo
350590,BATATAIS,10.968219583756069,0.11821219426130847,0.005,Baixo-Baixo
350600,BAURU,56.95451599085696,0.07224722172533898,0.168,Não significativo
350610,BEBEDOURO,27.233400718542804,0.028135113211715745,0.082,Não significativo
350620,BENTO DE ABREU,25.65541569790748,-0.06532472307542372,0.111,Não significativo
350630,BERNARDINO DE CAMPOS,71.1258966002574,-0.1350187009000222,0.272,Não significativo
350635,BERTIOGA,85.02357357921683,0.3597315554903167,0.106,Não significativo
350640,BILAC,7.774515139373135,0.0974615449753549,0.252,Não significativo
350650,BIRIGUI,23.946278365049817,0.03007803330582388,0.362,Não significativo
350660,BIRITIBA MIRIM,25.35702544400594,-0.008960354389778111,0.228,Não significativo
350670,BOA ESPERANCA DO SUL,28.06552827838481,0.020335116207094654,0.196,Não significativo
350680,BOCAINA,21.336436815051886,0.044272617887775916,0.316,Não significativo
350690,BOFETE,21.530795628809084,-0.010205423628381173,0.25,Não significativo
350700,BOITUVA,20.3842726600311,-0.012181058272933736,0.258,Não significativo
350710,BOM JESUS DOS PERDOES,18.823997784393825,0.03833871915313246,0.463,Não significativo
350715,BOM SUCESSO DE ITARARE,16.648828635985254,0.06902494712922869,0.213,Não significativo
350720,BORA,704.3650793650794,-1.9417139548099747,0.456,Não significativo
350730,BORACEIA,7.698896170761517,0.10315086317213157,0.281,Não significativo
350740,BORBOREMA,15.575454259592863,-0.15270596280955184,0.079,Não significativo
350745,BOREBI,17.553406238480576,-0.07409535110107142,0.13,Não significativo
350750,BOTUCATU,33.05757618523251,0.0027176556772275135,0.26,Não significativo
350760,BRAGANCA PAULISTA,31.577698379491167,0.00989873362251498,0.082,Não significativo
350770,BRAUNA,13.272390938275086,0.07565925378271593,0.224,Não significativo
350775,BREJO ALEGRE,29.73830293417922,0.015322890488897007,0.275,Não significativo
