Município de notificação;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total;TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Rio de Janeiro (Casos confirmados por Município de notificação e Ano Notificação)
330010 ANGRA DOS REIS;137;107;114;111;112;97;106;96;88;89;121;90;93;123;95;94;114;135;118;104;108;115;150;144;4;2665;
330015 APERIBE;2;5;2;4;6;1;3;1;6;3;4;1;3;2;1;1;2;1;2;5;5;4;5;5;-;74;
330020 ARARUAMA;29;52;41;48;56;50;61;50;44;47;49;42;46;49;26;25;36;35;42;44;78;71;53;85;-;1159;
330022 AREAL;12;6;4;3;7;3;5;8;2;2;2;-;2;2;-;1;1;1;5;-;2;4;3;3;1;79;
330023 ARMACAO DOS BUZIOS;18;14;22;14;11;24;4;22;15;12;14;10;27;21;27;18;18;23;12;20;16;21;20;14;1;418;
330025 ARRAIAL DO CABO;3;26;21;18;18;17;9;18;16;14;18;19;23;9;12;14;13;16;14;11;33;30;29;36;2;439;
330030 BARRA DO PIRAI;46;43;34;34;29;33;33;33;18;23;17;37;31;32;30;34;23;31;31;25;36;23;31;47;2;756;
330040 BARRA MANSA;63;62;76;76;88;69;71;80;65;62;57;49;45;37;40;49;31;50;46;63;67;73;71;77;15;1482;
330045 BELFORD ROXO;425;456;413;471;367;362;314;335;327;319;312;301;313;297;275;242;240;299;274;263;284;341;364;337;11;7942;
330050 BOM JARDIM;6;9;10;8;10;9;8;4;6;1;3;7;3;2;5;4;4;4;10;4;8;6;9;4;-;144;
330060 BOM JESUS DO ITABAPOANA;19;47;32;45;51;27;19;25;17;30;25;13;14;8;6;8;12;11;8;13;12;22;21;25;1;511;
330070 CABO FRIO;95;82;115;124;118;97;105;132;98;103;99;96;109;124;143;91;129;137;126;118;155;155;154;157;-;2862;
330080 CACHOEIRAS DE MACACU;-;11;24;19;15;18;19;25;13;17;19;35;24;22;11;9;12;12;12;8;24;24;38;17;-;428;
330090 CAMBUCI;1;3;2;4;2;8;1;2;7;2;3;9;4;5;2;4;4;5;7;5;6;2;7;4;-;99;
330093 CARAPEBUS;2;-;1;3;-;4;-;2;-;1;4;1;4;-;2;1;2;2;6;2;2;5;2;3;-;49;
330095 COMENDADOR LEVY GASPARIAN;2;4;5;8;5;2;4;10;6;2;8;2;3;1;1;1;3;3;1;-;8;3;1;4;-;87;
330100 CAMPOS DOS GOYTACAZES;199;207;195;184;174;284;181;226;286;158;208;203;190;237;318;300;352;394;385;370;398;483;556;511;7;7006;
330110 CANTAGALO;-;16;4;5;5;4;7;4;3;7;2;3;17;10;9;9;5;11;10;5;6;16;4;12;-;174;
330115 CARDOSO MOREIRA;6;5;5;2;3;3;1;-;1;1;-;-;-;2;1;-;3;3;3;5;2;1;1;5;-;53;
330120 CARMO;6;4;14;5;8;8;11;8;7;7;7;6;15;2;3;5;3;10;6;9;10;11;3;6;1;175;
330130 CASIMIRO DE ABREU;29;32;9;5;16;6;8;6;8;3;7;10;8;9;4;10;15;10;11;6;6;17;17;21;2;275;
330140 CONCEICAO DE MACABU;24;16;16;9;9;2;2;6;5;3;13;10;5;8;5;4;4;8;3;4;18;3;15;16;-;208;
330150 CORDEIRO;8;14;12;5;2;7;5;2;6;7;5;9;6;4;3;7;2;10;5;13;10;4;4;6;-;156;
330160 DUAS BARRAS;3;4;5;3;7;3;6;2;6;6;2;-;4;4;6;3;5;5;2;5;-;-;1;3;-;85;
330170 DUQUE DE CAXIAS;1171;984;965;927;988;947;991;959;992;1072;1020;889;968;966;872;903;739;801;796;740;726;882;856;847;22;22023;
330180 ENGENHEIRO PAULO DE FRONTIN;11;4;9;11;8;2;8;6;6;9;21;4;5;8;2;6;2;5;2;2;2;2;1;2;-;138;
330185 GUAPIMIRIM;15;32;26;23;21;25;20;28;38;24;17;19;32;33;37;20;34;22;21;16;37;22;19;28;1;610;
330187 IGUABA GRANDE;9;3;8;11;5;10;11;12;8;10;9;5;3;17;1;7;11;12;16;11;8;15;6;12;-;220;
330190 ITABORAI;138;134;170;174;204;182;129;182;155;137;129;158;137;133;106;111;138;124;130;124;132;168;194;163;2;3554;
330200 ITAGUAI;87;58;71;68;70;75;85;64;63;59;67;60;62;77;66;86;86;94;95;72;59;74;55;77;-;1730;
330205 ITALVA;7;9;9;9;6;4;4;2;5;7;4;3;5;1;3;2;2;3;1;5;4;6;1;7;-;109;
330210 ITAOCARA;5;9;3;6;2;2;10;8;5;2;5;4;5;9;12;6;1;3;5;4;6;6;8;9;1;136;
330220 ITAPERUNA;57;80;71;70;68;51;49;53;59;43;56;55;47;39;41;52;71;71;59;67;56;52;59;56;1;1383;
330225 ITATIAIA;6;7;11;4;10;3;7;6;7;6;2;20;14;17;13;25;17;10;13;15;9;17;9;21;2;271;
330227 JAPERI;151;178;138;109;90;113;95;97;68;76;111;85;100;85;94;50;78;108;72;74;70;112;278;295;8;2735;
330230 LAJE DO MURIAE;-;5;6;5;5;4;2;5;3;4;2;1;3;5;4;-;3;4;4;8;6;6;3;7;-;95;
330240 MACAE;99;110;107;106;116;95;100;121;127;108;99;109;126;106;128;115;109;88;122;114;129;147;167;177;1;2826;
330245 MACUCO;4;1;2;-;-;4;2;-;1;-;1;4;2;6;3;1;1;2;4;-;3;-;3;7;-;51;
330250 MAGE;232;220;189;166;197;188;174;207;205;202;190;159;151;116;146;126;138;201;183;139;157;226;287;311;12;4522;
330260 MANGARATIBA;30;16;18;13;11;24;24;19;24;28;17;28;16;12;17;13;19;24;15;25;29;19;34;39;4;518;
330270 MARICA;57;73;83;54;70;62;84;55;57;65;56;39;53;60;92;55;59;78;74;52;106;82;106;108;4;1684;
330280 MENDES;21;20;14;7;4;14;11;11;12;9;7;11;12;2;11;10;13;11;1;2;5;2;11;3;-;224;
330285 MESQUITA;-;81;137;109;124;117;123;134;161;144;128;137;139;129;114;107;108;147;154;151;192;171;165;183;2;3157;
330290 MIGUEL PEREIRA;8;14;21;19;15;4;20;18;11;6;12;4;1;2;-;-;5;9;4;9;5;5;7;7;1;207;
330300 MIRACEMA;11;10;13;10;15;14;8;27;14;14;14;12;12;13;14;8;14;11;15;11;9;11;19;13;-;312;
330310 NATIVIDADE;4;4;4;4;8;5;1;11;6;10;4;1;1;2;1;4;5;5;3;2;4;4;1;5;-;99;
330320 NILOPOLIS;265;272;241;214;134;174;180;199;211;156;153;143;143;144;140;101;97;94;127;112;103;127;114;103;1;3748;
330330 NITEROI;916;767;729;833;749;589;607;677;680;655;541;486;495;457;417;391;307;367;335;317;374;377;421;475;28;12990;
330340 NOVA FRIBURGO;40;34;61;51;44;60;43;43;45;56;44;52;36;36;36;41;54;72;65;57;64;75;76;71;9;1265;
330350 NOVA IGUACU;1254;1047;838;863;786;774;687;657;651;696;700;649;682;663;781;733;748;744;733;660;740;842;898;1042;17;18885;
330360 PARACAMBI;50;63;46;61;54;38;42;69;53;115;103;91;52;53;51;50;31;21;32;34;23;21;22;15;-;1190;
330370 PARAIBA DO SUL;-;13;14;21;14;6;8;24;13;9;10;10;3;11;9;8;13;20;26;19;23;20;25;28;1;348;
330380 PARATY;21;7;14;12;14;14;12;19;22;13;20;25;15;20;26;30;39;42;30;34;29;47;41;38;4;588;
330385 PATY DO ALFERES;13;10;10;11;11;6;7;4;3;6;3;6;9;3;5;7;10;8;5;6;5;11;7;10;-;176;
330390 PETROPOLIS;224;212;155;142;130;117;100;110;94;129;120;108;90;116;84;85;110;111;125;118;146;151;143;153;1;3074;
330395 PINHEIRAL;9;5;15;14;15;20;18;10;9;10;10;10;9;8;7;8;6;6;13;9;7;12;13;15;-;258;
330400 PIRAI;17;8;12;12;17;15;15;29;6;18;8;15;10;11;12;13;14;7;20;10;19;19;17;19;-;343;
330410 PORCIUNCULA;9;15;16;5;12;6;6;5;2;7;21;10;6;4;10;5;3;8;4;12;5;6;5;6;-;188;
330411 PORTO REAL;4;4;4;9;4;4;6;6;3;3;7;4;7;11;6;7;10;6;7;9;5;6;10;6;-;148;
330412 QUATIS;7;7;5;17;2;5;5;4;4;5;4;1;3;4;2;3;5;6;8;3;3;3;5;6;-;117;
330414 QUEIMADOS;22;175;172;170;180;175;134;135;114;103;110;105;104;-;13;106;115;113;108;87;77;93;104;121;5;2641;
330415 QUISSAMA;3;8;10;5;4;7;5;8;5;3;5;4;2;6;5;7;4;6;5;11;6;6;9;8;1;143;
330420 RESENDE;46;66;67;51;43;41;47;46;49;40;54;44;35;28;49;34;47;43;68;68;65;81;64;107;4;1287;
330430 RIO BONITO;20;30;29;14;21;33;37;49;35;34;31;31;39;35;27;23;26;26;20;21;28;52;31;22;-;714;
330440 RIO CLARO;4;6;2;2;3;7;1;1;2;4;3;3;2;4;-;3;4;-;1;4;7;7;9;1;-;80;
330450 RIO DAS FLORES;3;3;-;1;1;-;1;-;1;4;-;3;2;2;-;3;-;1;2;1;1;1;2;-;-;32;
330452 RIO DAS OSTRAS;28;35;44;44;49;43;54;49;41;48;48;61;69;51;45;70;48;68;72;75;77;98;116;115;6;1454;
330455 RIO DE JANEIRO;9078;9060;8572;8692;8270;7662;7646;7854;7978;7753;7898;8065;7412;7208;7356;7863;8247;8399;8751;7748;8495;8776;9062;8931;277;197053;
330460 SANTA MARIA MADALENA;-;-;5;-;3;-;-;-;-;1;4;1;-;3;2;2;-;3;2;2;-;2;3;2;-;35;
330470 SANTO ANTONIO DE PADUA;6;18;25;35;17;21;20;19;19;14;12;12;22;12;13;9;15;20;9;13;16;25;23;29;1;425;
330475 SAO FRANCISCO DE ITABAPOANA;-;4;1;5;6;5;2;8;3;10;5;1;3;4;1;-;1;7;4;6;5;13;25;10;-;129;
330480 SAO FIDELIS;4;6;13;11;9;14;8;10;11;6;2;7;2;12;8;4;10;10;9;10;29;6;16;35;2;254;
330490 SAO GONCALO;467;657;595;584;566;582;550;549;563;594;566;555;532;495;578;533;570;588;585;635;684;702;727;814;63;14334;
330500 SAO JOAO DA BARRA;6;3;3;4;4;5;4;2;1;3;4;3;5;7;3;4;2;6;5;14;20;18;23;17;-;166;
330510 SAO JOAO DE MERITI;402;403;449;462;455;464;462;410;453;480;381;449;405;368;378;341;410;366;346;361;390;397;395;437;16;9880;
330513 SAO JOSE DE UBA;2;1;4;2;-;2;2;1;2;1;-;1;2;-;2;-;1;-;-;2;1;5;2;2;-;35;
330515 SAO JOSE DO VALE DO RIO PRETO;1;7;6;5;4;7;3;8;1;4;7;5;2;5;7;8;2;4;4;1;2;4;3;-;-;100;
330520 SAO PEDRO DA ALDEIA;32;29;28;40;43;31;25;29;29;22;33;31;27;28;24;25;37;28;41;21;38;37;60;46;-;784;
330530 SAO SEBASTIAO DO ALTO;9;10;5;3;4;2;2;4;3;4;1;2;2;-;2;1;5;5;3;-;1;3;2;1;-;74;
330540 SAPUCAIA;3;12;9;2;3;7;3;6;6;3;11;9;8;5;5;4;1;5;7;8;7;8;8;8;-;148;
330550 SAQUAREMA;26;25;24;40;26;18;19;19;31;25;42;36;34;41;31;47;38;43;35;32;57;46;56;68;2;861;
330555 SEROPEDICA;33;39;50;52;91;81;51;45;34;29;51;38;36;35;36;28;28;35;43;37;37;25;37;38;-;1009;
330560 SILVA JARDIM;5;8;6;9;5;9;8;6;9;8;5;7;3;4;3;9;9;8;12;4;7;9;1;4;1;159;
330570 SUMIDOURO;-;-;5;2;5;3;2;4;4;3;2;3;2;5;6;6;2;6;-;1;-;6;3;2;-;72;
330575 TANGUA;16;24;8;16;11;14;6;15;12;15;6;9;7;4;10;4;7;9;8;15;20;17;17;19;-;289;
330580 TERESOPOLIS;77;92;64;73;60;53;68;51;47;46;44;49;42;44;63;54;60;68;57;55;94;94;94;86;1;1536;
330590 TRAJANO DE MORAES;10;2;2;1;5;-;-;-;2;1;6;1;1;-;1;1;1;1;2;1;1;-;-;-;-;39;
330600 TRES RIOS;54;46;37;49;33;23;30;37;34;32;24;39;29;52;46;34;47;61;81;65;75;69;76;74;-;1147;
