TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - São Paulo
Casos confirmados por Município de notificação e Ano Diagnóstico
Período:2001-2024
"Município de notificação";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"350010 ADAMANTINA";4;9;4;6;2;5;5;6;5;5;7;6;6;3;6;3;5;4;12;6;1;6;8;5;129
"350020 ADOLFO";-;3;-;1;-;1;-;-;-;-;1;1;-;2;-;1;2;-;-;1;-;1;-;3;17
"350030 AGUAI";10;8;5;4;8;16;4;10;7;12;10;15;8;8;8;9;7;4;6;3;4;12;14;19;211
"350040 AGUAS DA PRATA";3;3;1;4;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;2;17
"350050 AGUAS DE LINDOIA";2;10;1;5;3;4;2;2;2;2;-;3;1;-;1;3;5;2;5;2;2;3;1;3;64
"350055 AGUAS DE SANTA BARBARA";-;-;1;1;1;1;-;-;-;-;-;1;-;-;1;1;1;2;1;3;3;1;1;2;21
"350060 AGUAS DE SAO PEDRO";-;1;-;-;-;-;-;-;1;1;-;2;-;-;1;-;-;-;1;1;1;-;-;1;10
"350070 AGUDOS";7;1;9;16;14;10;6;7;8;11;17;7;12;11;6;4;9;2;21;11;12;13;15;11;240
"350075 ALAMBARI";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;1;1;1;-;1;3;10
"350080 ALFREDO MARCONDES";-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;1;-;2;-;-;1;7
"350090 ALTAIR";1;-;-;1;3;-;-;1;1;-;2;1;-;2;1;2;-;-;-;2;-;-;1;1;19
"350100 ALTINOPOLIS";2;2;3;1;2;-;2;-;2;-;-;1;1;1;-;1;5;2;4;5;4;4;5;1;48
"350110 ALTO ALEGRE";-;-;-;-;1;-;1;-;1;-;-;2;-;-;2;-;3;3;1;-;2;6;14;3;39
"350115 ALUMINIO";3;1;5;5;2;1;3;2;4;4;2;3;-;2;2;3;3;2;1;2;4;12;6;9;81
"350120 ALVARES FLORENCE";-;1;1;-;2;1;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;8
"350130 ALVARES MACHADO";2;1;1;2;2;2;3;2;4;4;1;2;2;2;6;2;1;4;4;6;5;12;9;4;83
"350140 ALVARO DE CARVALHO";3;2;-;2;-;6;12;19;21;21;15;19;20;34;32;21;33;22;23;14;24;26;22;19;410
"350150 ALVINLANDIA";-;1;-;2;1;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;2;-;1;1;12
"350160 AMERICANA";55;51;43;41;37;52;45;62;61;50;67;80;69;51;47;40;44;44;56;42;38;36;46;41;1198
"350170 AMERICO BRASILIENSE";76;92;84;90;103;59;49;40;15;14;28;32;27;20;12;12;11;19;9;8;10;12;9;8;839
"350180 AMERICO DE CAMPOS";4;1;-;-;1;-;-;-;-;1;1;1;-;-;-;-;2;-;1;1;-;-;1;1;15
"350190 AMPARO";28;26;19;20;41;26;21;18;17;22;7;22;16;7;11;10;23;11;14;11;9;20;18;16;433
"350200 ANALANDIA";-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;2;1;1;8
"350210 ANDRADINA";25;21;17;25;23;21;19;20;18;25;13;17;26;34;32;28;36;23;23;29;34;36;30;33;608
"350220 ANGATUBA";4;4;1;1;2;6;7;2;3;5;1;-;6;4;4;3;5;2;8;3;7;8;6;8;100
"350230 ANHEMBI";1;1;3;-;-;3;2;3;2;-;-;-;-;-;-;-;1;3;1;4;1;3;2;2;32
"350240 ANHUMAS";1;-;2;-;-;-;-;-;2;-;1;-;1;-;-;-;-;1;-;1;-;2;1;-;12
"350250 APARECIDA";18;15;28;24;16;14;12;9;9;20;19;24;24;17;22;18;15;14;10;15;16;14;22;21;416
"350260 APARECIDA D'OESTE";-;-;-;1;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;-;1;1;1;-;8
"350270 APIAI";2;7;7;4;5;5;8;3;8;2;2;1;1;1;1;1;2;-;7;1;3;4;5;4;84
"350275 ARACARIGUAMA";4;2;1;2;4;7;3;4;10;9;8;6;9;4;5;5;4;4;8;11;5;16;11;17;159
"350280 ARACATUBA";101;62;66;61;75;68;71;73;40;22;29;40;32;38;40;27;39;39;47;52;43;72;71;68;1276
"350290 ARACOIABA DA SERRA";-;3;5;3;2;1;7;5;3;5;8;4;3;6;2;7;3;8;8;3;3;8;10;7;114
"350300 ARAMINA";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;4
"350310 ARANDU";2;3;3;-;2;2;-;-;1;-;-;2;-;1;1;-;1;-;-;1;2;1;1;1;24
"350315 ARAPEI";-;-;-;-;-;-;2;-;1;1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;10
"350320 ARARAQUARA";64;57;54;55;40;45;53;57;41;40;40;41;56;43;51;43;40;37;47;42;34;51;50;49;1130
"350330 ARARAS";36;58;43;42;39;35;32;30;27;35;35;26;39;38;26;41;39;52;37;35;37;39;51;39;911
"350335 ARCO-IRIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2
