cod_mun6,municipio,incidencia_periodo_100mil_pessoa_ano,casos_acumulados,gi_z,gi_p
330455,RIO DE JANEIRO,131.68966637058531,196776,1.565629553072214,0.001
330227,JAPERI,121.14540380468534,2727,1.2746855137704451,0.018
330170,DUQUE DE CAXIAS,110.88096516888244,22001,1.251047133486028,0.004
330320,NILOPOLIS,101.7330180252337,3747,1.8798197351096169,0.004
330350,NOVA IGUACU,99.74426918476716,18868,1.3114483014660576,0.001
330510,SAO JOAO DE MERITI,90.88304989658184,9864,1.7595924576192463,0.001
330414,QUEIMADOS,80.55784166105624,2636,1.4626183042280645,0.008
330285,MESQUITA,78.11977705531771,3155,1.692593382191052,0.001
330045,BELFORD ROXO,70.34741564829521,7931,1.4967908112631254,0.001
330200,ITAGUAI,67.42060833653873,1730,0.957213124546324,0.009
330490,SAO GONCALO,62.86068027668743,14271,0.892724301712106,0.043
330452,RIO DAS OSTRAS,55.80316282152816,1448,1.2449051378810745,0.013
330555,SEROPEDICA,54.74606020981468,1009,1.6940012676519962,0.001
330290,MIGUEL PEREIRA,33.95238754507756,206,0.8581316614250023,0.004
