estado,cod_mun6,municipio,casos_acumulados,pop_pessoa_ano,pop_media,incidencia_media_anual,incidencia_mediana_anual,incidencia_max_anual,anos_com_casos,anos_zero,incidencia_periodo_100mil_pessoa_ano,log_casos_acumulados_mais1,log_inc_periodo_mais1,inc_raw,inc_eb_global,inc_eb_spatial,reducao_%
SP,350470,BALBINOS,657,77768,3240.333333333333,736.0132473665127,799.1784443730955,1942.7671304804408,20,4,844.8204917189589,6.489204931325317,6.740307152362496,844.8204917189589,796.8666933892332,841.1196164118326,-0.43806647014399114
SP,350720,BORA,142,20160,840.0,739.0165759377086,0.0,17000.0,5,19,704.3650793650794,4.962844630259907,6.558715511848851,704.3650793650794,574.343952974614,683.3868061969051,-2.978323852608403
SP,352650,LAVINIA,1240,200648,8360.333333333334,575.9487666179703,609.7042613738697,1473.2766964189698,24,0,617.9976874925242,7.123672785204607,6.428101536801243,617.9976874925242,604.1931197534246,616.4199395774556,-0.25529997069571086
SP,354085,PRACINHA,277,58982,2457.583333333333,436.4186514329622,412.5037429020124,1252.7634487840826,20,4,469.6348038384592,5.627621113690637,6.154082429866447,469.63480383845916,436.80519590134907,461.0142124661863,-1.8355946581927771
SP,350140,ALVARO DE CARVALHO,410,110580,4607.5,363.0851084639551,422.70071460730446,723.0965546575925,22,2,370.7722915536263,6.018593214496234,5.918281547372032,370.7722915536263,356.8612970529561,365.845913137619,-1.3286803054685083
SP,351610,FLORINEA,247,77789,3241.208333333333,281.6108239709692,47.27177904107877,1175.5057408419902,17,7,317.5256141613853,5.513428746164983,5.763702893007443,317.5256141613853,301.30679343953454,315.0538549294691,-0.7784440440952677
SP,352870,MARABA PAULISTA,342,108275,4511.458333333333,305.5460778430839,279.0096113418477,749.3042175123101,20,4,315.86238743939043,5.83773044716594,5.758467570600675,315.86238743939043,304.08249931735156,312.48425781959975,-1.0694941069673578
SP,353490,PACAEMBU,1025,328554,13689.75,304.2440749980116,329.2802786451714,804.8005647723261,23,1,311.9730698758804,6.933423025730715,5.746117148103402,311.97306987588036,308.0311619116928,311.79566688876054,-0.05686484002942944
SP,350970,CAMPOS DO JORDAO,3458,1119379,46640.79166666666,323.5390662759084,24.118128259896192,1768.5257679731037,24,0,308.92128582008417,8.148734808937169,5.7363183485274805,308.92128582008417,307.7654605121304,308.77388303999453,-0.04771532000403577
SP,354075,POTIM,1155,446742,18614.25,246.44340589452585,271.5653849527629,455.6607080266386,23,1,258.5384853002404,7.052721049232323,5.558904997198352,258.5384853002404,256.21696096721826,257.82329536265917,-0.27662803731160795
SP,352160,IRAPURU,435,179470,7477.916666666667,243.78560597574176,229.1000291473789,578.4146181148942,21,3,242.38034211845988,6.077642243349034,5.4946254136043535,242.38034211845988,237.1310810887106,241.67133919464231,-0.2925166775575594
SP,354250,REGINOPOLIS,393,166300,6929.166666666667,224.59910408195253,247.45588568517547,420.16806722689074,23,1,236.3199037883344,5.976350909297934,5.469409035981353,236.31990378833436,230.84320742496425,231.70766115976218,-1.951694527052297
SP,353010,MIRANDOPOLIS,1412,657924,27413.5,212.90931952063707,238.46687558141923,377.2763549299862,24,0,214.61445394908836,7.253470382684528,5.3734918773679095,214.61445394908833,213.36244054175842,214.49670826687137,-0.0548638174411567
