ano,RJ,SP
2001,110.56506944458391,51.11270807707174
2002,111.04558315828535,50.299733643531766
2003,104.03749835955497,48.05190725477081
2004,103.31155830917461,45.499622104458055
2005,97.9866681353534,44.850123022965874
2006,91.46811503998147,45.678232230634606
2007,88.17886962673963,44.09113423528534
2008,90.09531220768469,45.63028626073493
2009,89.29742440046586,43.60425723012447
2010,86.83372470259769,44.03354440465104
2011,86.80483219040204,45.86922654119023
2012,85.78097355384625,44.613996953544465
2013,81.9269640205299,46.36035279390409
2014,79.24461449309186,47.279832306874084
2015,80.75244854522265,47.82450150996142
2016,82.12781733665756,47.99153429989582
2017,85.4526330919601,50.79440615565
2018,89.64376129836879,51.83118933793755
2019,91.42490424578274,49.99818246842084
2020,82.92197553547211,44.56229918203176
2021,91.15776906968995,45.38835196208316
2022,97.10819457729977,51.75000649014069
2023,98.98557026193492,55.226977233118475
2024,97.21083204157921,56.14576181067602
