recorte,variavel,I_RJ,z_RJ,p_RJ,I_SP,z_SP,p_SP
2001–2024,incidência do período,0.40520853156217773,5.914046096220728,0.001,0.1326771804974208,5.628169406375334,0.002
2001–2024,log da incidência,0.23567847690888877,3.805648466222599,0.001,0.27084024934852186,11.29434603842855,0.001
2001–2024,log dos casos acumulados,0.4246475592408841,6.273652885848239,0.001,0.38736773014062564,15.976219272818852,0.001
2001–2005,incidência do período,0.3013898553645378,4.478318204062306,0.001,-0.0007767214118451214,0.03068937583597751,0.296
2001–2005,log da incidência,0.1999799799141992,3.1889950048182425,0.003,0.230807963448374,9.660137512372579,0.001
2006–2010,incidência do período,0.4992934540383193,7.401550234283985,0.001,0.19048338491998942,8.081340981677055,0.001
2006–2010,log da incidência,0.31147650127239723,4.925174665547099,0.002,0.19878301515993835,8.060620822893759,0.001
2011–2015,incidência do período,0.37238345644368076,5.508806218095237,0.001,0.18702265306845242,8.014068960970613,0.001
2011–2015,log da incidência,0.23536482695823213,3.681526762303048,0.001,0.2014700997541707,8.488186506837701,0.001
2016–2019,incidência do período,0.30196573707558566,4.4537257784739905,0.001,0.16372401287393296,7.082787381043139,0.002
2016–2019,log da incidência,0.1863171650485063,2.893864115023542,0.001,0.21033316928799423,8.625256845126772,0.001
2020–2024,incidência do período,0.23153867913143195,3.445774533232317,0.001,0.11996021808911825,5.4819370994874745,0.003
2020–2024,log da incidência,0.16516341796140532,2.691969638461891,0.009,0.1962191040831414,8.168795038731604,0.001
